artist,country,date_recorded,download_link,file_type,gender,is_duet,language,location,no_of_comments,no_of_followers,no_of_following,no_of_likes,no_of_recordings,no_of_views,recording_id,recording_link,song_title,user_avatar,user_group,user_name,days
Celine Dion,India,2017-02-26,https://s3.amazonaws.com/redkaraokecom/data/mp3/11827/4f59b061f60c73fada252fd6cbfc9573_1.mp3,mp3,woman,False,en,en,3,14,9, 2,1,66,1019711,https://www.redkaraoke.com/profile/Deepziee/recordings/1019711,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic10030299_5.gif,2,Deepziee,239
Celine Dion,Spain,2017-06-15,https://www.redkaraoke.com/data/vid/es/11827/bd83b51f5bab74bf6c7b71109fe7db0b_1.mp4,vid,woman,False,es,en,44,400,195, 26,1277,148,2329674,https://www.redkaraoke.com/profile/olalla81/recordings/2329674,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic4345786_64.gif,2,olalla81,130
Celine Dion,Algeria,2016-10-12,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/235035f4f9372a7d4847217792984cfb_1.mp4,vid,woman,False,en,en,11,11,1, 9,1,258,888026,https://www.redkaraoke.com/profile/Tina_35/recordings/888026,My heart will go on,https://d4rgvppl55fks.cloudfront.net/es/img3/mujerpequena.jpg,2,Tina_35,376
Celine Dion,USA,2017-08-16,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/b6e68d8891e5d4558941215d38287c08_1.mp4,vid,,False,en,en,4,2,0, 7,1,67,1176800,https://www.redkaraoke.com/profile/izzysback/recordings/1176800,My heart will go on,https://d4rgvppl55fks.cloudfront.net/es/img3/neutropequeno.jpg,2,izzysback,68
Celine Dion,Spain,2008-03-05,https://s3.amazonaws.com/redkaraoke/data/mp3/11827/c78966b897e9be6206c36716f8035964_1.mp3,mp3,woman,False,es,en,3,43,12, 3,137,176,113562,https://www.redkaraoke.com/profile/fatego/recordings/113562,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic79729_26.gif,2,fatego,3519
Celine Dion,Australia,2017-04-01,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/2d6fb2409ba38ea713987c0a84f35ed0_1.mp4,vid,woman,False,en,en,9,6,0, 9,1,132,1052645,https://www.redkaraoke.com/profile/kelly-jowilliams/recordings/1052645,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic10492799_1.gif,2,kelly-jowilliams,205
Celine Dion,Japan,2009-07-22,https://s3.amazonaws.com/redkaraokejp/data/mp3/11827/a4938e9d519a2e472b6a9fd928ca65d7_1.mp3,mp3,woman,False,jp,en,3,3,1, 5,56,503,10070,https://www.redkaraoke.com/profile/SarahCha/recordings/10070,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic300525_3.gif,2,SarahCha,3015
Celine Dion,Japan,2010-07-24,https://s3.amazonaws.com/redkaraokejp/data/mp3/11827/2d1ee031394ef57c2a3148614970d87f_1.mp3,mp3,man,False,jp,en,17,112,133, 8,721,281,51561,https://www.redkaraoke.com/profile/yukimasa/recordings/51561,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic490102_21.gif,2,yukimasa,2648
Celine Dion,Syria,2015-04-14,https://s3.amazonaws.com/redkaraokecom/data/mp3/11827/87b6606ff520d61b22890107963bfd37_1.mp3,mp3,woman,False,en,en,3,28,21, 6,48,107,433854,https://www.redkaraoke.com/profile/Joujou71/recordings/433854,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic4749734_9.gif,9,Joujou71,923
Celine Dion,USA,2015-12-28,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/ef1d74f9159f17423321166d69334bbe_1.mp4,vid,,False,en,en,3,3,1, 4,2,209,537789,https://www.redkaraoke.com/profile/nuttmeglegs/recordings/537789,My heart will go on,https://d4rgvppl55fks.cloudfront.net/es/img3/neutropequeno.jpg,2,nuttmeglegs,665
Celine Dion,India,2015-12-02,https://s3.amazonaws.com/redkaraokecom/data/vid/11827/1d1cb265c259272a43e39cd9a0a8a113_1.mp4,vid,,False,en,en,1,7,1, 2,3,30,518987,https://www.redkaraoke.com/profile/scarlbubble/recordings/518987,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic5695644_1.gif,2,scarlbubble,691
Celine Dion,USA,2014-07-13,https://s3.amazonaws.com/redkaraokecom/data/mp3/11827/970e59f114ebdbccca213a39aaec47cd_1.mp3,mp3,woman,False,en,en,4,3815,82, 60,3686,196,342009,https://www.redkaraoke.com/profile/n1angel4u/recordings/342009,My heart will go on,https://d4rgvppl55fks.cloudfront.net/forum/customprofilepics/profilepic2624663_38.gif,9,n1angel4u,1198
